plot,tarweed,mulch,nativeCover,exoticCover,nativeRich,exoticRich
65,0,0,0.47,0.35,1,5
78,0,0,0,0.79,7,15
75,0,0,0.19,0.25,4,11
60,0,0,0.68,0.28,6,7
48,0,0,0.84,0.11,2,1
56,0,0,0.22,0.64,7,8
70,0,0,0.39,0.08,9,8
74,0,0,0.25,0.52,9,11
71,0,0,0.22,0.65,6,10
59,0,0,0.54,0.02,6,5
51,0,0,0.17,0.21,9,10
79,0,0,0.05,0.55,4,10
41,0,0,0.39,0.53,7,11
68,0,0,0.29,0.19,10,9
69,0,0,0.57,0.18,7,7
45,0,0,0,0.97,3,4
76,0,0,0.22,0.12,5,7
73,0,0,0.23,0.3,8,15
53,0,0,0.79,0.05,7,8
58,0,0,0.62,0,5,5
55,0,1,0.01,0.99,5,10
49,0,1,0.17,0.82,1,5
80,0,1,0.43,0.45,6,10
52,0,1,0.5,0.01,8,7
63,0,1,0.5,0.1,10,7
44,0,1,0,1,2,2
50,0,1,0,0.83,2,2
77,0,1,0.15,0.4,8,13
54,0,1,0.62,0.33,4,10
47,0,1,0.41,0.25,2,5
72,0,1,0.28,0.46,6,10
61,0,1,0.75,0.19,9,13
66,0,1,0.73,0.27,10,12
64,0,1,0.31,0.04,1,8
42,0,1,0.52,0.46,8,11
57,0,1,0.69,0.03,6,7
67,0,1,0.37,0.21,10,12
46,0,1,0.42,0.17,0,6
62,0,1,0.52,0.03,6,7
43,0,1,0.55,0.2,8,9
31,1,0,0.16,0.57,7,9
34,1,0,0.21,0.24,7,8
30,1,0,0.08,0.03,7,6
20,1,0,0.1,0.02,10,5
37,1,0,0.12,0.57,8,8
39,1,0,0.05,0.04,9,8
5,1,0,0.42,0.39,10,12
9,1,0,0.21,0.03,8,4
23,1,0,0.26,0.7,5,9
32,1,0,0.22,0.6,7,5
8,1,0,0.06,0.31,8,9
3,1,0,0.07,0.54,8,10
28,1,0,0.21,0.38,9,8
24,1,0,0.19,0.08,8,3
26,1,0,0.24,0.55,8,6
17,1,0,0.22,0.77,5,5
15,1,0,0.15,0.08,7,6
36,1,0,0.11,0.36,7,5
12,1,0,0.6,0.4,3,6
13,1,0,0.26,0.33,7,8
35,1,1,0.04,0.2,9,8
29,1,1,0.16,0.28,7,7
2,1,1,0.01,0.96,5,8
38,1,1,0.05,0.25,6,12
7,1,1,0.45,0.48,7,7
14,1,1,0.27,0.15,9,10
27,1,1,0.38,0.01,7,11
40,1,1,0.27,0.3,9,7
1,1,1,0.25,0.63,6,9
10,1,1,0.45,0.17,11,6
25,1,1,0.07,0.06,9,4
11,1,1,0.52,0.38,5,9
22,1,1,0.74,0.25,7,5
16,1,1,0.72,0.28,3,11
18,1,1,0.56,0.37,7,8
19,1,1,0.34,0.61,9,12
33,1,1,0.34,0.18,8,6
4,1,1,0.48,0.43,9,7
6,1,1,0.29,0.58,9,7
21,1,1,0.42,0.44,8,6
