Project:  Niwot,,,,,,,,,,,,,,,,,,,
Experiment:  Salix/ITEX,,,,,,,,,,,,,,,,,,,
Date: 7/18/2014,,,,,,,,,,,,,,,,,,,
Data Description: Willow seedling transplant survival and growth survey,,,,,,,,,,,,,,,,,,,
Protocol:,,,,,,,,,,,,,,,,,,,
CSV File & Path:,,,,,,,,,,,,,,,,,,,
"Names of Data Takers:  Jane Smith, Riva Madan, Connor Bernard, Sam Sartwell, Jared Huxley",,,,,,,,,,,,,,,,,,,
"Column Info: all variables measurements are in cm; 'variables'  measured for each transplanted willow seedling were: 'ht1' =  willow height to the tip of the stem (including new green stem growth and buds), 'ht2' = willow height to the tip of the highest leaf, pulling the leaf up to measure, 'cnpy1' = width of longest axis of shrub canopy looking down from above, 'cnpy2' = width of canopy axis perpendicular to cnpy1; willow seedlings were transplanted into plots in 2007 (w_1-10) and 2006 (w_A-C)",,,,,,,,,,,,,,,,,,,
"Abbreviations & Definitions: 'code' = plot treatment in which the first letter indicates snow addition (P), second letter nitrogen addition (N), and third letter temp warming (W), where 'X' = control treatment for each of the three factors; 'w_1-10' are willow seeding numbers 1-10 and 'w_A-C' are willow transplants A-C; 'dead' = confirmed dead, 'CF' = can't find",,,,,,,,,,,,,,,,,,,
"column headers: block, plot, code, snow, n, temp, variable, w_1-10, w_A-C",,,,,,,,,,,,,,,,,,,
block,plot,code,snow,n,temp,variable,w_1,w_2,w_3,w_4,w_5,w_6,w_7,w_8,w_9,w_10,w_A,w_B,w_C
1,1,XXW,X,X,W,ht1,8.7,CF,CF,13.9,CF,CF,CF,CF,CF,CF,CF,CF,CF
,,,,,,ht2,12.2,,,16.4,,,,,,,,,
,,,,,,cnpy1,5.3,,,11.4,,,,,,,,,
,,,,,,cnpy2,5,,,9.5,,,,,,,,,
,,,,,,notes,,,,,,,,,,,,,
1,2,XNW,X,N,W,ht1,13.5,3,CF,CF,CF,CF,CF,CF,CF,CF,CF,CF,CF
,,,,,,ht2,17.1,5.5,,,,,,,,,,,
,,,,,,cnpy1,6.4,2.3,,,,,,,,,,,
,,,,,,cnpy2,5.5,2,,,,,,,,,,,
,,,,,,notes,,,,,,,,,,,,,
1,3,XNW,X,N,W,ht1,CF,CF,CF,CF,CF,CF,CF,CF,CF,CF,CF,CF,CF
,,,,,,ht2,,,,,,,,,,,,,
,,,,,,cnpy1,,,,,,,,,,,,,
,,,,,,cnpy2,,,,,,,,,,,,,
,,,,,,notes,,,,,,,,,,,,,
1,4,XXX,X,X,X,ht1,CF,CF,CF,CF,3.5,CF,CF,CF,CF,CF,CF,CF,30.5
,,,,,,ht2,,,,,4.8,,,,,,,,31
,,,,,,cnpy1,,,,,1,,,,,,,,18.5
,,,,,,cnpy2,,,,,1,,,,,,,,6.5
,,,,,,notes,,,,,,,,,,,,,
1,5,XNX,X,N,X,ht1,CF,CF,CF,CF,CF,3.6,CF,CF,CF,CF,CF,CF,CF
,,,,,,ht2,,,,,,5.1,,,,,,,
,,,,,,cnpy1,,,,,,1.9,,,,,,,
