,,,,,,GPS START,,,ELECTROFISHING POSITION,,,TOTAL ,,,,
TRIBUTARY,REACH,DATE,TIME,AIR TEMP,H2O TEMP,X,Y,SAMPLERS,START,STOP,SPECIES,LENGTH,WEIGHT,GENETICS,PASS NO.,COMMENTS
Big Creek,2,7/30/13,1300,25,16,48.32094,116.82425,TA SH TR,2308,4105,WCT,134,,332,2,
Big Creek,1,7/30/13,950,21,,48.32611,116.84164,TA SH TR,0,1830,WCT,96,8,335,1,
Big Creek,1,7/30/13,950,21,,48.32611,116.84164,TA SH TR,0,1830,WCT,83,5,336,1,
Big Creek,2,7/30/13,1200,24,,48.32094,116.82425,TA SH TR,0,2308,WCT,149,31,337,1,
Big Creek,2,7/30/13,1200,24,,48.32094,116.82425,TA SH TR,0,2308,WCT,127,19,338,1,
Big Creek,2,7/30/13,1200,24,,48.32094,116.82425,TA SH TR,0,2308,WCT,145,28,339,1,
Big Creek,1,7/30/13,950,21,,48.32611,116.84164,TA SH TR,0,1830,WCT,117,12,341,1,
Big Creek,1,7/30/13,950,21,,48.32611,116.84164,TA SH TR,0,1830,WCT,119,14,342,1,
Big Creek,2,7/30/13,1300,25,16,48.32094,116.82425,TA SH TR,2308,4105,WCT,104,10,343,2,
Big Creek,2,7/30/13,1200,24,,48.32094,116.82425,TA SH TR,0,2308,WCT,136,20,345,1,
Big Creek,2,7/30/13,1200,24,,48.32094,116.82425,TA SH TR,0,2308,WCT,114,13,346,1,
Big Creek,2,7/30/13,1200,24,,48.32094,116.82425,TA SH TR,0,2308,WCT,102,8,349,1,
Big Creek,1,7/30/13,950,21,,48.32611,116.84164,TA SH TR,0,1830,WCT,117,14,350,1,
Big Creek,2,7/30/13,1300,25,16,48.32094,116.82425,TA SH TR,2308,4105,WCT,121,,355,2,
Big Creek,1,7/30/13,950,21,,48.32611,116.84164,TA SH TR,0,1830,WCT,115,13,358,1,
Big Creek,2,7/30/13,1300,25,16,48.32094,116.82425,TA SH TR,2308,4105,WCT,227,,366,2,
Big Creek,1,7/30/13,950,21,,48.32611,116.84164,TA SH TR,0,1830,WCT,124,18,368,1,
Big Creek,1,7/30/13,950,21,,48.32611,116.84164,TA SH TR,1830,3268,WCT,119,15,369,2,
Big Creek,1,7/30/13,950,21,,48.32611,116.84164,TA SH TR,0,1830,WCT,122,16,371,1,
Big Creek,1,7/30/13,950,21,,48.32611,116.84164,TA SH TR,0,1830,WCT,83,5,372,1,
Big Creek,1,7/30/13,950,21,,48.32611,116.84164,TA SH TR,0,1830,BKT,255,forgot to measure,,1,
Big Creek,1,7/30/13,950,21,,48.32611,116.84164,TA SH TR,0,1830,BKT,151,28,,1,
Big Creek,1,7/30/13,950,21,,48.32611,116.84164,TA SH TR,0,1830,BKT,76,4,,1,
Big Creek,1,7/30/13,950,21,,48.32611,116.84164,TA SH TR,0,1830,BKT,56,2,,1,
Big Creek,1,7/30/13,950,21,,48.32611,116.84164,TA SH TR,0,1830,WCT,45,,,1,
Big Creek,1,7/30/13,950,21,,48.32611,116.84164,TA SH TR,0,1830,SCU,95,8,,1,
Big Creek,1,7/30/13,950,21,,48.32611,116.84164,TA SH TR,0,1830,BKT,166,47,,1,
Big Creek,1,7/30/13,950,21,,48.32611,116.84164,TA SH TR,0,1830,BKT,66,2,,1,
Big Creek,1,7/30/13,950,21,,48.32611,116.84164,TA SH TR,0,1830,BKT,55,2,,1,
